Section,ID,Check,Pass (Y/N),Fail (Y/N),Notes
PRE-FLIGHT,A1,Backend containers up (nginx / Django / Redis / Postgres),,,
PRE-FLIGHT,A2,Phone and PC on same Wi-Fi,,,
PRE-FLIGHT,A3,.env LAN IP matches PC (rebuild app if IP changed),,,
PRE-FLIGHT,A4,WEBSOCKET_URL reachable from phone (not localhost),,,
PRE-FLIGHT,A5,Emulator admin logged in: 7069036462 / password,,,
PRE-FLIGHT,A6,Phone driver logged in: 9876544111 / password (Batch-01),,,
PRE-FLIGHT,A7,Batch-01 morning trip not already ended today,,,
PERMISSIONS,P1,On splash: camera permission dialog appears (runtime - not at install),,,
PERMISSIONS,P2,Phone / notification / location prompts appear if not yet granted,,,
PERMISSIONS,P3,Settings > Apps > CTS > Permissions shows Camera allowed,,,
WEBSOCKET,B1,Driver taps START TRIP - WS connects (loading then live screen),,,
WEBSOCKET,B2,WS stays open at least 2 min on live screen,,,
WEBSOCKET,B3,Admin opens Running Batches > D2D Channel - stays connected,,,
WEBSOCKET,B4,If WS drops: Connection lost banner appears,,,
WEBSOCKET,B5,Auto-reconnect works after brief drop,,,
WEBSOCKET,B6,App background then foreground: WS reconnects,,,
WEBSOCKET,B7,Leave screen without STOP - trip stays active; re-enter reconnects,,,
WEBSOCKET,B8,No unexpected sign-out (4401 / 4403 auth close),,,
WEBSOCKET,B9,After real STOP: reconnect same day shows 4001 / trip ended,,,
START KM,C1,Start-KM sheet opens after trip starts (even if WS flaky),,,
START KM,C2,KM required - Confirm blocked if KM empty,,,
START KM,C3,Confirm with KM only (no photo) succeeds,,,
START KM,C4,Take odometer photo - camera opens (not gallery),,,
START KM,C5,Photo preview shows; Retake works,,,
START KM,C6,Confirm with KM + photo - upload succeeds,,,
START KM,C7,Close or Skip - no KM recorded; trip continues,,,
START KM,C8,After Close/Skip sheet does not re-trap in loop,,,
START KM,C9,Re-open trip after start KM recorded - sheet skipped,,,
LIVE TRIP,D1,Boarding QR visible on driver screen,,,
LIVE TRIP,D2,Admin channel has no QR (watch-only),,,
LIVE TRIP,D3,Commuter Coming ON > Scan > boards successfully,,,
LIVE TRIP,D4,Driver Already IN list grows after scan,,,
LIVE TRIP,D5,Admin channel shows same Already IN update,,,
LIVE TRIP,D6,Driver swipe green (REMOVE fallback) works for one pickup,,,
LIVE TRIP,D7,Scan without Coming ON shows error (one try),,,
END KM + STOP,E1,STOP TRIP opens end-KM sheet (if end KM not set),,,
END KM + STOP,E2,End KM + optional photo Confirm succeeds,,,
END KM + STOP,E3,Close/Skip on end sheet shows Stop anyway dialog,,,
END KM + STOP,E4,Stop anyway ends trip; navigates to driver home,,,
END KM + STOP,E5,Admin sees trip ended; dashboard LIVE tile clears,,,
END KM + STOP,E6,Driver cannot START same batch again today (4001),,,
REGRESSION,F1,Camera permission denied shows clear error message,,,
REGRESSION,F2,Invalid KM (letters / empty on Confirm) shows validation error,,,
REGRESSION,F3,Airplane mode on live screen shows offline banner; recover on restore,,,
REGRESSION,F4,Admin ADD via + sheet still works (one commuter),,,
SESSION LOG,Date,,,,
SESSION LOG,Tester,,,,
SESSION LOG,Admin device,,,,
SESSION LOG,Driver device,,,,
SESSION LOG,Backend IP,,,,
SESSION LOG,Batch,,Batch-01,,,
SESSION LOG,Overall result,PASS / PARTIAL / FAIL,,,
SESSION LOG,WS close issue - step when closed,,,,
SESSION LOG,WS close issue - close code / log,,,,
SESSION LOG,Blockers for push,,,,
